current_path,filename,extension,size_bytes,sha256,probable_phase,probable_concept,document_role,authority_level,exact_duplicate_group,possible_cross_format_duplicate_group,probable_canonical_file,confidence,manual_review_requirement
COPY PASTE FOLDER/Phase3B_MEMORY.md,Phase3B_MEMORY.md,md,18836,7b6532c779867e9d6064473de4ba1b4799a0c385361cf27dc4616888fb0ac7ad,Phase 3B,Multi-concept,Phase memory,Convenience copy of Level 6 — Phase 3B report/memory,ED-07,,PHASE 3/PHASE 3B-Engineering Feasibility Analysis/Phase3B_MEMORY.md,High,Yes — convenience copy; do not treat as canonical
COPY PASTE FOLDER/Phase3B_Report_by_Claude.md,Phase3B_Report_by_Claude.md,md,83718,14c19ac85b56e4e27da03de534a2a574ab7220d90005b4a7a0afb868f6390478,Phase 3B,Multi-concept,Phase report/supporting deliverable,Convenience copy of Level 6 — Phase 3B report/memory,ED-01,,PHASE 3/PHASE 3B-Engineering Feasibility Analysis/Phase3B_Report_by_Claude.md,High,Yes — convenience copy; do not treat as canonical
COPY PASTE FOLDER/Phase3C_TrueMoist_SOP.md,Phase3C_TrueMoist_SOP.md,md,18712,993caf1a05f3fdc3937efb634e2f2e467488e973eb71454db8e3c3f53d178d00,Phase 3C,TrueMoist,Methodology/SOP,Convenience/context only; non-canonical container,ED-11,,PHASE 3/PHASE 3C-Comparative Technical Evaluation/TrueMoist/Phase3C_TrueMoist_SOP.md,High,Yes — convenience copy; do not treat as canonical
COPY PASTE FOLDER/Project_mC_Decision_Register_v1.0.md,Project_mC_Decision_Register_v1.0.md,md,42548,2ecf77fbbba9966a7769a2e715034f6b9ff7362d7aa51261219ee118085d22d3,Cross-phase governance,Multi-concept,Project Decision Register,Historical/superseded Decision Register,ED-02,,Project_mC_Decision_Register_v1.0.md.save,High,Yes — ensure historical/superseded labeling
CURRENT_FOLDER_STRUCTURE.txt,CURRENT_FOLDER_STRUCTURE.txt,txt,7870,befdeb6ebd683f74616ace070a5aea279a46557886b4b4842c5441a436d787ff,Repository-wide,Repository-wide/none,Stale structure snapshot,Supporting/non-decision artifact,,,CURRENT_FOLDER_STRUCTURE.txt,High,Yes — stale status/version or structure snapshot
MC_Project_PHASE_DOC.md,MC_Project_PHASE_DOC.md,md,11868,c4b6c4a56bf8ba3066c5b426dce5ae4d50da4774478b5074566e9c79812e3ece,Repository-wide,Multi-concept,Project methodology/phase roadmap,Governance/context (outside numbered technical precedence),ED-13,,MC_Project_PHASE_DOC.md,High,Yes — stale status/version or structure snapshot
PHASE 1/PHASE 1.A/Phase1A_Memory.md,Phase1A_Memory.md,md,4029,5a8943e1e556e1db0644cc7b75e2b4c8000b1a9506d673406c9c70cf7bb4a213,Phase 1A,Multi-concept,Phase memory,Supporting/non-decision artifact,ED-05,,PHASE 1/PHASE 1.A/Phase1A_Memory.md,High,No
PHASE 1/PHASE 1.A/Phase1A_Summary.md,Phase1A_Summary.md,md,2794,c52bed09fdfd1a860471bfc6d56cd41411f730362d12ee0348e07ad0939909c9,Phase 1A,Multi-concept,Methodology/SOP,Supporting/non-decision artifact,ED-14,,PHASE 1/PHASE 1.A/Phase1A_Summary.md,High,No
PHASE 1/PHASE 1.A/RESEARCHS/CHATGPT DEEP RESEARCH.md,CHATGPT DEEP RESEARCH.md,md,20670,fa41ec5c0504aada478a754133290458a1333eee99542c4530d3fb2abc8f5ac0,Phase 1A,Repository-wide/none,Raw independent research,Level 10 — raw research evidence only,,,PHASE 1/PHASE 1.A/RESEARCHS/CHATGPT DEEP RESEARCH.md,High,No
PHASE 1/PHASE 1.A/RESEARCHS/GEMINI DEEP RESEARCH.docx,GEMINI DEEP RESEARCH.docx,docx,3035520,e527fa3ab029f3dd3096184c35f90ccd21e61bd520d9eb677f1031abbebd13ad,Phase 1A,Repository-wide/none,Raw independent research,Level 10 — raw research evidence only,,,PHASE 1/PHASE 1.A/RESEARCHS/GEMINI DEEP RESEARCH.docx,Medium,"No, unless used for a project decision"
PHASE 1/PHASE 1.A/RESEARCHS/KIMI DEEP RESEARCH.docx,KIMI DEEP RESEARCH.docx,docx,64142,c0d4cbeb9099d8a58c4fa6eab7e2f06aa1a0bda76affecb9444f040e8169828f,Phase 1A,Repository-wide/none,Raw independent research,Level 10 — raw research evidence only,,,PHASE 1/PHASE 1.A/RESEARCHS/KIMI DEEP RESEARCH.docx,Medium,"No, unless used for a project decision"
PHASE 1/PHASE 1.A/RESEARCHS/QWEN AI DEEP RESEARCH.pdf,QWEN AI DEEP RESEARCH.pdf,pdf,519844,5b3f7270de5bc6a27eba0e458cd2f7f40f55dd0407094f70ccfed6f6fd3f7ed8,Phase 1A,Repository-wide/none,Raw independent research,Level 10 — raw research evidence only,,,PHASE 1/PHASE 1.A/RESEARCHS/QWEN AI DEEP RESEARCH.pdf,Medium,"No, unless used for a project decision"
PHASE 1/PHASE 1.B/Phase1B_Memory.md,Phase1B_Memory.md,md,3966,d58c91eead60c5abdb4e38c1e9b87c7449f4b3b68ccd7a23f5d4816fea16ff76,Phase 1B,Multi-concept,Phase memory,Supporting/non-decision artifact,ED-16,,PHASE 1/PHASE 1.B/Phase1B_Memory.md,High,No
PHASE 1/PHASE 1.B/Phase1B_Opportunity_Analysis.md,Phase1B_Opportunity_Analysis.md,md,5802,e10d76b80c78554ff7e2ea75f3b263bfe82333c54418e7f794d249610f8fe130,Phase 1B,Multi-concept,Methodology/SOP,Supporting/non-decision artifact,ED-17,,PHASE 1/PHASE 1.B/Phase1B_Opportunity_Analysis.md,High,No
PHASE 1/PHASE 1.B/Phase1B_Opportunity_Analysis.zip,Phase1B_Opportunity_Analysis.zip,zip,743098,67d556082774dd9223e05d99f6b64eac045d7cc52ae9b60c403bc643a8b15dab,Phase 1B,Multi-concept,Convenience/archive package,Convenience/context only; non-canonical container,,,Normal files listed in 03_DUPLICATE_REPORT.md,High,Yes — convenience archive retention/version policy
PHASE 1/PHASE 1.B/Phase1B_Opportunity_Analysis_By_Claude.pdf,Phase1B_Opportunity_Analysis_By_Claude.pdf,pdf,1484584,8e53b914163d8e2685d9edda7422e4c1ac1a01230e60e3a100a0e7ef514dd52c,Phase 1B,Multi-concept,Phase report/supporting deliverable,Supporting/non-decision artifact,,,PHASE 1/PHASE 1.B/Phase1B_Opportunity_Analysis_By_Claude.pdf,Medium,"No, unless used for a project decision"
PHASE 1/PHASE 1B.5/Phase1B5_Memory.md,Phase1B5_Memory.md,md,5302,d200473fd85a3cc910e3532bb2be662e0fcbdeab363fe988a948fd81d129c537,Phase 1B.5,Multi-concept,Phase memory,Supporting/non-decision artifact,ED-15,,PHASE 1/PHASE 1B.5/Phase1B5_Memory.md,High,No
PHASE 1/PHASE 1B.5/Phase1B5_Opportunity_Portfolio_Optimization.md,Phase1B5_Opportunity_Portfolio_Optimization.md,md,6431,305f0f568081ad8a01affc02d252a681f84abde5c23c2a9421fb69369ecc5540,Phase 1B.5,Multi-concept,Methodology/SOP,Supporting/non-decision artifact,ED-03,,PHASE 1/PHASE 1B.5/Phase1B5_Opportunity_Portfolio_Optimization.md,High,No
PHASE 1/PHASE 1B.5/Phase1B5_Portfolio_Optimization_By_Claude.pdf,Phase1B5_Portfolio_Optimization_By_Claude.pdf,pdf,582050,25130fe434ba2962de3ca241374d9823acced92b088ec6562a77140b80551809,Phase 1B.5,Multi-concept,Phase report/supporting deliverable,Supporting/non-decision artifact,,,PHASE 1/PHASE 1B.5/Phase1B5_Portfolio_Optimization_By_Claude.pdf,Medium,"No, unless used for a project decision"
PHASE 1/PHASE 1C/5 IDEA ABSTRACT/Microcontroller_Project_Abstract_Proposal_5_Ideas.pdf,Microcontroller_Project_Abstract_Proposal_5_Ideas.pdf,pdf,27986,0d0c8ba61f0c5b2ea5ac243a382f1a1ffdb1e75ed27d8f2b1f6fc8b971afd82e,Phase 1C,Multi-concept,Phase report/supporting deliverable,Level 9 — Phase 1C synthesis/dossier,,,PHASE 1/PHASE 1C/5 IDEA ABSTRACT/Microcontroller_Project_Abstract_Proposal_5_Ideas.pdf,Medium,"No, unless used for a project decision"
PHASE 1/PHASE 1C/5 IDEA ABSTRACT/Microcontroller_Project_Idea_Abstracts 2.0.pdf,Microcontroller_Project_Idea_Abstracts 2.0.pdf,pdf,25856,9d3f9364213e055715d85c85cf09c1609190c2c32918b60fcfe54f336f4fb8ec,Phase 1C,Multi-concept,Phase report/supporting deliverable,Level 9 — Phase 1C synthesis/dossier,,,PHASE 1/PHASE 1C/5 IDEA ABSTRACT/Microcontroller_Project_Idea_Abstracts 2.0.pdf,Medium,"No, unless used for a project decision"
PHASE 1/PHASE 1C/5 IDEA ABSTRACT/Microcontroller_Project_Idea_Abstracts.pdf,Microcontroller_Project_Idea_Abstracts.pdf,pdf,24352,8145ccd58cad7eadb15d9f0eb51c3e833cfbe2afe7eff9a174666118752f0874,Phase 1C,Multi-concept,Phase report/supporting deliverable,Level 9 — Phase 1C synthesis/dossier,,,PHASE 1/PHASE 1C/5 IDEA ABSTRACT/Microcontroller_Project_Idea_Abstracts.pdf,Medium,"No, unless used for a project decision"
PHASE 1/PHASE 1C/INDEPTH OF EACH FIVE IDEA/Document_1_OpenBraille_Concept_Dossier.docx,Document_1_OpenBraille_Concept_Dossier.docx,docx,38405,ac21af2a892f319e0b28d4d7314f4561c5aebad5291343c34d777beb933106ea,Phase 1C,OpenBraille,Concept dossier,Level 9 — Phase 1C synthesis/dossier,,,PHASE 1/PHASE 1C/INDEPTH OF EACH FIVE IDEA/Document_1_OpenBraille_Concept_Dossier.docx,High,No
PHASE 1/PHASE 1C/INDEPTH OF EACH FIVE IDEA/Document_2_VibeGuard_Concept_Dossier.docx,Document_2_VibeGuard_Concept_Dossier.docx,docx,38619,8a3c40cdc9ec899934ca9a37b05f9c0df22b583cd3ee259ebc81c1da9f0a0ae7,Phase 1C,VibeGuard,Concept dossier,Level 9 — Phase 1C synthesis/dossier,,,PHASE 1/PHASE 1C/INDEPTH OF EACH FIVE IDEA/Document_2_VibeGuard_Concept_Dossier.docx,High,No
PHASE 1/PHASE 1C/INDEPTH OF EACH FIVE IDEA/Document_3_TrueMoist_Concept_Dossier.docx,Document_3_TrueMoist_Concept_Dossier.docx,docx,38768,ca5cedfdfac5157b328aa865433a172d8af82a44d2dbf8b015c8c217fa6f85a2,Phase 1C,TrueMoist,Concept dossier,Level 9 — Phase 1C synthesis/dossier,,,PHASE 1/PHASE 1C/INDEPTH OF EACH FIVE IDEA/Document_3_TrueMoist_Concept_Dossier.docx,High,No
PHASE 1/PHASE 1C/INDEPTH OF EACH FIVE IDEA/Document_4_TrustLatch_Concept_Dossier.docx,Document_4_TrustLatch_Concept_Dossier.docx,docx,39031,f9a4184850435aba3ec26e480e802d1ba39f17037f0f368520a625c6f8e84f78,Phase 1C,TrustLatch (deferred),Concept dossier,Level 9 — Phase 1C synthesis/dossier,ED-20,,PHASE 1/PHASE 1C/INDEPTH OF EACH FIVE IDEA/Document_4_TrustLatch_Concept_Dossier.docx,High,No
PHASE 1/PHASE 1C/OTHERS IDEA FORMAT/POOJA PROJECT.pdf,POOJA PROJECT.pdf,pdf,98813,70a6446354f634cd7501e883e954bcba8f292a6bb91d406713d30c72b9be977d,Phase 1C,Multi-concept,Phase report/supporting deliverable,Level 9 — Phase 1C synthesis/dossier,,,PHASE 1/PHASE 1C/OTHERS IDEA FORMAT/POOJA PROJECT.pdf,Medium,"No, unless used for a project decision"
PHASE 1/PHASE 1C/OTHERS IDEA FORMAT/Patent Potential of Student Projects.docx,Patent Potential of Student Projects.docx,docx,2998348,2156803ab9ac9a253fc6e8860c7788d9891af782fcd52e7a9c64249115cf0273,Phase 1C,Multi-concept,Supporting project document,Supporting/non-decision artifact,,,PHASE 1/PHASE 1C/OTHERS IDEA FORMAT/Patent Potential of Student Projects.docx,High,No
PHASE 1/PHASE 1C/OTHERS IDEA FORMAT/USB_Powered_Secure_File_Transfer_Authentication_Abstract.pdf,USB_Powered_Secure_File_Transfer_Authentication_Abstract.pdf,pdf,2399,ce5b8e3c904a82066e0718abc0e49c6583c5ec37022cc8d4e59cdefb202c526e,Phase 1C,Multi-concept,Phase report/supporting deliverable,Level 9 — Phase 1C synthesis/dossier,,,PHASE 1/PHASE 1C/OTHERS IDEA FORMAT/USB_Powered_Secure_File_Transfer_Authentication_Abstract.pdf,Medium,"No, unless used for a project decision"
PHASE 1/PHASE 1C/OTHERS IDEA FORMAT/USB_Powered_Smart_Anti_Theft_System_Abstract.pdf,USB_Powered_Smart_Anti_Theft_System_Abstract.pdf,pdf,2424,6d5a03b4afbec01258f767ae31c592653ce6e5da09a29c62b5e8ec4841e5c5b3,Phase 1C,Multi-concept,Phase report/supporting deliverable,Level 9 — Phase 1C synthesis/dossier,,,PHASE 1/PHASE 1C/OTHERS IDEA FORMAT/USB_Powered_Smart_Anti_Theft_System_Abstract.pdf,Medium,"No, unless used for a project decision"
PHASE 1/PHASE 1C/OTHERS IDEA FORMAT/USB_Powered_Smart_Cabinet_Abstract.pdf,USB_Powered_Smart_Cabinet_Abstract.pdf,pdf,2553,97d240350257e89ad533ef3067c7bf41e18362e01f1d43823eb73e68f9049d17,Phase 1C,Multi-concept,Phase report/supporting deliverable,Level 9 — Phase 1C synthesis/dossier,,,PHASE 1/PHASE 1C/OTHERS IDEA FORMAT/USB_Powered_Smart_Cabinet_Abstract.pdf,Medium,"No, unless used for a project decision"
PHASE 1/PHASE 1C/Phase1C.md,Phase1C.md,md,3009,8e41493ddbc8b8b3c3ad8a00995b6ae3f8a5645351f8086a6b8ded92623853e4,Phase 1C,Multi-concept,Methodology/SOP,Level 9 — Phase 1C synthesis/dossier,ED-09,,PHASE 1/PHASE 1C/Phase1C.md,High,No
PHASE 1/PHASE 1C/Phase1C_Concept_Synthesis.pdf,Phase1C_Concept_Synthesis.pdf,pdf,641952,4f117f1a7bc0fb5b4ec9e450036566aa5198a08e84a451ad2e7d2dbc8636b084,Phase 1C,Multi-concept,Phase report/supporting deliverable,Level 9 — Phase 1C synthesis/dossier,,,PHASE 1/PHASE 1C/Phase1C_Concept_Synthesis.pdf,Medium,"No, unless used for a project decision"
PHASE 1/PHASE 1C/Phase1C_Memory.md,Phase1C_Memory.md,md,3390,e3b320245bc20d4312edc22b62fc9584059111e8fd38442277a3e5544ae019c1,Phase 1C,Multi-concept,Phase memory,Level 9 — Phase 1C synthesis/dossier,ED-18,,PHASE 1/PHASE 1C/Phase1C_Memory.md,High,No
PHASE 1/PHASE 1C/minimalist_project_proposal.pdf,minimalist_project_proposal.pdf,pdf,82574,19d4198bb4fafc2fbd299a68517551c58e52d319a6c84c4df55c6a41246f44e0,Phase 1C,Multi-concept,Phase report/supporting deliverable,Level 9 — Phase 1C synthesis/dossier,,,PHASE 1/PHASE 1C/minimalist_project_proposal.pdf,Medium,"No, unless used for a project decision"
PHASE 1/PHASE 1C/project_proposal_booklet.pdf,project_proposal_booklet.pdf,pdf,666060,c15f75f4ce0ab6cf6bca5ad7bb1b3c12a4c1e4bfdf662886fd168ba78d67c203,Phase 1C,Multi-concept,Phase report/supporting deliverable,Level 9 — Phase 1C synthesis/dossier,,,PHASE 1/PHASE 1C/project_proposal_booklet.pdf,Medium,"No, unless used for a project decision"
PHASE 1/PHASE 1C/visual explanation of the 5 ideas/11 ideas.html,11 ideas.html,html,68141,bd36812bff46105a8f6f9b6a38bbc93688b8e3cd2e9146456481b71c880f766d,Phase 1C,Multi-concept,Concept visualization,Supporting/non-decision artifact,,,PHASE 1/PHASE 1C/visual explanation of the 5 ideas/11 ideas.html,High,No
PHASE 1/PHASE 1C/visual explanation of the 5 ideas/top 5.html,top 5.html,html,43688,a01c1706657b1a5abc76ec22e8e108a2d534608cda5f824fe656f257195d4192,Phase 1C,Multi-concept,Concept visualization,Supporting/non-decision artifact,,,PHASE 1/PHASE 1C/visual explanation of the 5 ideas/top 5.html,High,No
PHASE 2/2_Sop.md,2_Sop.md,md,6177,c7d7d805d41313dee1dce65d9323c95075a8cde8d61ff2bfce3700510c41dd54,Phase 2,Repository-wide/none,Methodology/SOP,Supporting/non-decision artifact,,,PHASE 2/2_Sop.md,High,No
PHASE 2/Phase2_DeepResearch_Prompt_v2.md,Phase2_DeepResearch_Prompt_v2.md,md,8965,372d5ccbc23bd7b8e444fb6071aea4e4760397b5c1a360201d288609b1efcefd,Phase 2,Multi-concept,AI research/synthesis prompt,Supporting/non-decision artifact,,,PHASE 2/Phase2_DeepResearch_Prompt_v2.md,High,No
PHASE 2/Phase2_Memory.md,Phase2_Memory.md,md,7820,973519f45bc075c296d4302b94933288496bd9bc12fae708aac1fb7020158ce8,Phase 2,Multi-concept,Phase memory,Level 8 — Phase 2 report/memory,ED-10,,PHASE 2/Phase2_Memory.md,High,No
PHASE 2/Phase2_Report From Claude.pdf,Phase2_Report From Claude.pdf,pdf,488517,ab93da2c1ad6a9e22678e59da64a8992e4275ac4b01bad1061995dd9a5bf4f04,Phase 2,Multi-concept,Phase report/supporting deliverable,Level 8 — Phase 2 report/memory,,CF-01,PHASE 2/Phase2_Report by CLaude.md,High,Yes — cross-format scope/equivalence review
PHASE 2/Phase2_Report by CLaude.md,Phase2_Report by CLaude.md,md,44493,783729d0e07e725236db5296dae8504ce782c294b8c61cfab40ea172cfa6943e,Phase 2,Multi-concept,Phase report/supporting deliverable,Level 8 — Phase 2 report/memory,ED-06,CF-01,PHASE 2/Phase2_Report by CLaude.md,High,Yes — cross-format scope/equivalence review
PHASE 2/Phase2_docs.zip,Phase2_docs.zip,zip,20668,5b4156e64afaf59c1cc8788ae2c02cbebf8e2c003343dd8c56544219f1377fb6,Phase 2,Multi-concept,Convenience/archive package,Convenience/context only; non-canonical container,,,Normal files listed in 03_DUPLICATE_REPORT.md,High,Yes — convenience archive retention/version policy
PHASE 2/RESEARCH DOCS/CHATGT Research on Patent.docx,CHATGT Research on Patent.docx,docx,27850,61188e3fc06ca9ab2ddd8c196d217f10a59e077fe9b32687e2c0920d486501d5,Phase 2,Multi-concept,Raw independent research,Level 10 — raw research evidence only,,,PHASE 2/RESEARCH DOCS/CHATGT Research on Patent.docx,Medium,"No, unless used for a project decision"
PHASE 2/RESEARCH DOCS/Gemini Reearch on phase 2.docx,Gemini Reearch on phase 2.docx,docx,3011880,5af919473e667c9bae7abbdfc5f98067472f40beb5a3e5f1c793a0f12e4d0f53,Phase 2,Repository-wide/none,Raw independent research,Level 10 — raw research evidence only,,,PHASE 2/RESEARCH DOCS/Gemini Reearch on phase 2.docx,Medium,"No, unless used for a project decision"
PHASE 2/RESEARCH DOCS/Kimi Patent Research.pdf,Kimi Patent Research.pdf,pdf,1472114,33f4539a14653b55c0b73e0fbcd140827e2131ed9c3ca5d9bc896d4553f4a904,Phase 2,Multi-concept,Raw independent research,Level 10 — raw research evidence only,,,PHASE 2/RESEARCH DOCS/Kimi Patent Research.pdf,Medium,"No, unless used for a project decision"
PHASE 2/RESEARCH DOCS/QWen Research on Patent.pdf,QWen Research on Patent.pdf,pdf,752520,75d736454cf7362a31e9ae1e2695a7bd793ab98187f2ad51ba9dc44f0d4473a7,Phase 2,Multi-concept,Raw independent research,Level 10 — raw research evidence only,,CF-02,Undetermined pending manual comparison (PDF is more complete),Medium,Yes — cross-format scope/equivalence review
PHASE 2/RESEARCH DOCS/Qwens Research on Phase 2.md,Qwens Research on Phase 2.md,md,92668,5593a0581c350814e5567357effb2b1948cd3046a67bf52e00ff7495b9c0afe8,Phase 2,Repository-wide/none,Raw independent research,Level 10 — raw research evidence only,,CF-02,Undetermined pending manual comparison (PDF is more complete),Medium,Yes — cross-format scope/equivalence review
PHASE 3/Engineering_Design_Review.md,Engineering_Design_Review.md,md,31205,46f017501ac3ff9ebd6c1fb1e5ee8c068c22ddb08ae204c5609f2b759090295e,Phase 3,Repository-wide/none,Engineering Design Review,Level 1 — Engineering Design Review,ED-04,,PHASE 3/Engineering_Design_Review.md,High,No
PHASE 3/PHASE 3A-Engineering Landscape Discovery/Claudes report on the research Phases 3a.pdf,Claudes report on the research Phases 3a.pdf,pdf,792034,7d0202fb62476a0212e594af473ad8d796eecd853e53e7f0952de90908cec611,Phase 3A,Repository-wide/none,Raw independent research,Level 10 — raw research evidence only,ED-08,,PHASE 3/PHASE 3A-Engineering Landscape Discovery/Claudes report on the research Phases 3a.pdf,Medium,"No, unless used for a project decision"
PHASE 3/PHASE 3A-Engineering Landscape Discovery/Geminis Research On Phase 3A.docx,Geminis Research On Phase 3A.docx,docx,53060,6d380794c7b52664324a1e4e39dac49f40f50ad269391cbe1f6135175048b944,Phase 3A,Repository-wide/none,Raw independent research,Level 10 — raw research evidence only,,,PHASE 3/PHASE 3A-Engineering Landscape Discovery/Geminis Research On Phase 3A.docx,Medium,"No, unless used for a project decision"
PHASE 3/PHASE 3A-Engineering Landscape Discovery/MISTRAL RESEAARCH ON phase 3a.md,MISTRAL RESEAARCH ON phase 3a.md,md,122129,ae11e6b64bed09dcde373a21849085dd929a96f045d8a2362d4f07d58daed5c6,Phase 3A,Repository-wide/none,Raw independent research,Level 10 — raw research evidence only,,,PHASE 3/PHASE 3A-Engineering Landscape Discovery/MISTRAL RESEAARCH ON phase 3a.md,High,No
PHASE 3/PHASE 3A-Engineering Landscape Discovery/Perplexity Research on Phase 3A.pdf,Perplexity Research on Phase 3A.pdf,pdf,905522,a56c84e5ca354f3e1451fa98cd49d7184247c95b2b1ddf5b7e04a24bd954d19b,Phase 3A,Repository-wide/none,Raw independent research,Level 10 — raw research evidence only,,,PHASE 3/PHASE 3A-Engineering Landscape Discovery/Perplexity Research on Phase 3A.pdf,Medium,"No, unless used for a project decision"
PHASE 3/PHASE 3A-Engineering Landscape Discovery/Phase3A_MEMORY.md,Phase3A_MEMORY.md,md,8898,acd3b4178143ca918ed4cce43d3d853acc994c0178dc8efdc406fb014e1ec997,Phase 3A,Multi-concept,Phase memory,Level 7 — Phase 3A report/memory,ED-12,,PHASE 3/PHASE 3A-Engineering Landscape Discovery/Phase3A_MEMORY.md,High,No
PHASE 3/PHASE 3A-Engineering Landscape Discovery/Qwen Research on Phase 3A.md,Qwen Research on Phase 3A.md,md,63435,501782f664994ad0cfdeb72f16a975c2abe3a87ee4c456375a703f426437c99b,Phase 3A,Repository-wide/none,Raw independent research,Level 10 — raw research evidence only,,,PHASE 3/PHASE 3A-Engineering Landscape Discovery/Qwen Research on Phase 3A.md,High,No
PHASE 3/PHASE 3A-Engineering Landscape Discovery/phase3B_report_and_summary.zip,phase3B_report_and_summary.zip,zip,522853,9d0593bb50717c290ca9c36d135ffc1aebfb70a48d2b058be4c8b421af44ae21,Phase 3B,Multi-concept,Convenience/archive package,Convenience/context only; non-canonical container,,,Normal files listed in 03_DUPLICATE_REPORT.md,High,Yes — convenience archive retention/version policy
PHASE 3/PHASE 3B-Engineering Feasibility Analysis/Gemini Research on Phase 3B.docx,Gemini Research on Phase 3B.docx,docx,3012247,94e1e8e81c3f79f3f426086677841b1b4c2c32da8b50710e080bd0a27b9e2906,Phase 3B,Repository-wide/none,Raw independent research,Level 10 — raw research evidence only,,,PHASE 3/PHASE 3B-Engineering Feasibility Analysis/Gemini Research on Phase 3B.docx,Medium,"No, unless used for a project decision"
PHASE 3/PHASE 3B-Engineering Feasibility Analysis/Mistral researon on Phase 3B.md,Mistral researon on Phase 3B.md,md,81611,254d0b0a0df0cdab2fecb7ef65148474faff4f16c440fe4e76d0ada53cb6dc11,Phase 3B,Repository-wide/none,Raw independent research,Level 10 — raw research evidence only,,,PHASE 3/PHASE 3B-Engineering Feasibility Analysis/Mistral researon on Phase 3B.md,High,No
PHASE 3/PHASE 3B-Engineering Feasibility Analysis/Phase3B_DeepResearch_Prompt.md,Phase3B_DeepResearch_Prompt.md,md,11471,2d0a79d6fe7e24bf1cc4c1d4b4a9e2c0cd3c8cead10ad0323b63709eec2811e6,Phase 3B,Multi-concept,AI research/synthesis prompt,Supporting/non-decision artifact,,,PHASE 3/PHASE 3B-Engineering Feasibility Analysis/Phase3B_DeepResearch_Prompt.md,High,No
