chapter_id	chapter_title	relative_path	authority_role_for_chapter	selection_purpose	source_map_status	frozen_authority_tier	frozen_manual_treatment	source_map_sha256	candidate_register_sha256	actual_sha256	hash_status
12	Provenance and AI-Use Controls	06_TRANSPORT_AND_PROVENANCE/03_Launchers_and_Checklists/VibeGuard_Synthesis_Launcher_FINAL.txt	TIER_5_TRANSPORT_EXAMPLE	Representative launcher showing transport role rather than evidence role.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	PROVENANCE_ONLY	97e468c15bccf79f0dabc6e4bd4e05f4c592739148bacc2f7c96cb30809f417c	97e468c15bccf79f0dabc6e4bd4e05f4c592739148bacc2f7c96cb30809f417c	97e468c15bccf79f0dabc6e4bd4e05f4c592739148bacc2f7c96cb30809f417c	FROZEN_HASH_VERIFIED
12	Provenance and AI-Use Controls	03_CONCEPT_PORTFOLIO/OpenBraille/PATENT_EVIDENCE_INDEX.md	TIER_2_SUPPORTING_EVIDENCE	Controls valid OpenBraille patent-evidence set and exclusions.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_2	SUPPORTING_EVIDENCE	307cb70cbb5544daf76582082e480e7fa4a22cc50fffa848f9ddd473ecd43255	307cb70cbb5544daf76582082e480e7fa4a22cc50fffa848f9ddd473ecd43255	307cb70cbb5544daf76582082e480e7fa4a22cc50fffa848f9ddd473ecd43255	FROZEN_HASH_VERIFIED
12	Provenance and AI-Use Controls	03_CONCEPT_PORTFOLIO/VibeGuard/PATENT_EVIDENCE_INDEX.md	TIER_2_SUPPORTING_EVIDENCE	Controls valid VibeGuard research and synthesis set.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_2	SUPPORTING_EVIDENCE	cb80b048a9238c232ed2b9a37da9f0997ba65cd5eb5f0f303764c42b51c99e4b	cb80b048a9238c232ed2b9a37da9f0997ba65cd5eb5f0f303764c42b51c99e4b	cb80b048a9238c232ed2b9a37da9f0997ba65cd5eb5f0f303764c42b51c99e4b	FROZEN_HASH_VERIFIED
12	Provenance and AI-Use Controls	03_CONCEPT_PORTFOLIO/TrueMoist/PATENT_EVIDENCE_INDEX.md	TIER_2_SUPPORTING_EVIDENCE	Controls valid TrueMoist lanes, syntheses and excluded supplementary audit.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_2	SUPPORTING_EVIDENCE	163cb6af44fcced08d6427b30ad00e155163377d0deb33bbced9f2583d3350a1	163cb6af44fcced08d6427b30ad00e155163377d0deb33bbced9f2583d3350a1	163cb6af44fcced08d6427b30ad00e155163377d0deb33bbced9f2583d3350a1	FROZEN_HASH_VERIFIED
12	Provenance and AI-Use Controls	04_COMPARATIVE_DECISION/01_Common_Evidence_and_Gates/02_Authoritative_Source_Manifest.md	TIER_2_DECISION_EVIDENCE	Defines controlled source roles for comparative decision work.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_2	CORE_DECISION_EVIDENCE	f2d6f77836230780b63ae10353d9bf65f61d43ef2500e0872b5e9a65e57835c6	f2d6f77836230780b63ae10353d9bf65f61d43ef2500e0872b5e9a65e57835c6	f2d6f77836230780b63ae10353d9bf65f61d43ef2500e0872b5e9a65e57835c6	FROZEN_HASH_VERIFIED
12	Provenance and AI-Use Controls	00_START_HERE/07_STAGE5_TRANSPORT_PROVENANCE_VALIDATION.md	TIER_5_AUDIT	Validates organized transport/provenance copy stage.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	AUDIT_APPENDIX	417bf666f3d6346b0afc2e49a4a71052614a6adadc80f282f90673e20ff77c89	417bf666f3d6346b0afc2e49a4a71052614a6adadc80f282f90673e20ff77c89	417bf666f3d6346b0afc2e49a4a71052614a6adadc80f282f90673e20ff77c89	FROZEN_HASH_VERIFIED
12	Provenance and AI-Use Controls	08_MASTER_MANUAL/02_Chapter_Source_Maps/12_Research_Provenance_and_AI_Workflow_Control_SOURCES.md	POST_FREEZE_MAPPING_CONTROL	Chapter-specific mapping control; not technical evidence.	UNMAPPED_OR_POST_FREEZE				8038106fc9935e889eebb7b03eb047cc7cbbeb32bd52e37d7ef0fe523ef84491	8038106fc9935e889eebb7b03eb047cc7cbbeb32bd52e37d7ef0fe523ef84491	LOCAL_HASH_RECORDED
13	Superseded, Failed, Partial and Archived Material	09_ARCHIVE/ARCHIVE_INDEX.md	TIER_5_ARCHIVE_PRIMARY	Controls archive structure, categories and permitted use.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	ARCHIVE_ONLY	ce262a6250572344c465064cf47217b7d539d919c230f3048459d2a4683cae98	ce262a6250572344c465064cf47217b7d539d919c230f3048459d2a4683cae98	ce262a6250572344c465064cf47217b7d539d919c230f3048459d2a4683cae98	FROZEN_HASH_VERIFIED
13	Superseded, Failed, Partial and Archived Material	09_ARCHIVE/03_Failed_or_Partial_Research/README.md	TIER_5_ARCHIVE_PRIMARY	Defines failed, partial and fragment handling.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	ARCHIVE_ONLY	b7e948d80eddb1ad5bec10684b0214691cf3303a92eb1c12d1ceed2efbcb0111	b7e948d80eddb1ad5bec10684b0214691cf3303a92eb1c12d1ceed2efbcb0111	b7e948d80eddb1ad5bec10684b0214691cf3303a92eb1c12d1ceed2efbcb0111	FROZEN_HASH_VERIFIED
13	Superseded, Failed, Partial and Archived Material	09_ARCHIVE/03_Failed_or_Partial_Research/VibeGuard/FAILED_CONCEPT_SWAP_VibeGuard_Deep_Research_Synthesis.md	TIER_5_FAILED_OUTPUT	Failed concept-swapped VibeGuard synthesis retained as negative provenance.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	ARCHIVE_ONLY	8dd3e9c2a131c77427f8fd8034e6594a0eddb9080cbb6d1e33abfc99b5bc6134	8dd3e9c2a131c77427f8fd8034e6594a0eddb9080cbb6d1e33abfc99b5bc6134	8dd3e9c2a131c77427f8fd8034e6594a0eddb9080cbb6d1e33abfc99b5bc6134	FROZEN_HASH_VERIFIED
13	Superseded, Failed, Partial and Archived Material	09_ARCHIVE/03_Failed_or_Partial_Research/OpenBraille/FAILED_CONCEPT_SWAP_OpenBraille_Deep_Research_Synthesis.md	TIER_5_FAILED_OUTPUT	Failed concept-swapped OpenBraille synthesis retained as negative provenance.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	ARCHIVE_ONLY	d9b3fce5d7133d2457dd18c1092fb5eaab43f827e4c0eb864462beab1fdfc822	d9b3fce5d7133d2457dd18c1092fb5eaab43f827e4c0eb864462beab1fdfc822	d9b3fce5d7133d2457dd18c1092fb5eaab43f827e4c0eb864462beab1fdfc822	FROZEN_HASH_VERIFIED
13	Superseded, Failed, Partial and Archived Material	09_ARCHIVE/03_Failed_or_Partial_Research/TrueMoist/SUPPLEMENTARY_EXCLUDED_TrueMoist_Work_Max_Web_Audit.md	TIER_5_EXCLUDED_SUPPLEMENT	Supplementary audit explicitly excluded from the controlled vote/evidence set.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	ARCHIVE_ONLY	6efe433b5b86b75830b93ad0a32f5a8db703d0a9740c4481ef4cea7db5a89dec	6efe433b5b86b75830b93ad0a32f5a8db703d0a9740c4481ef4cea7db5a89dec	6efe433b5b86b75830b93ad0a32f5a8db703d0a9740c4481ef4cea7db5a89dec	FROZEN_HASH_VERIFIED
13	Superseded, Failed, Partial and Archived Material	09_ARCHIVE/05_Unrelated_Quarantine/INTENTIONAL_EXCLUSIONS.md	TIER_5_QUARANTINE_CONTROL	Controls unrelated and intentionally excluded material.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	ARCHIVE_ONLY	908a34152f9bd09e1dbf951169f5f452432aaa0bd416d80efe91713c2cf536ce	908a34152f9bd09e1dbf951169f5f452432aaa0bd416d80efe91713c2cf536ce	908a34152f9bd09e1dbf951169f5f452432aaa0bd416d80efe91713c2cf536ce	FROZEN_HASH_VERIFIED
13	Superseded, Failed, Partial and Archived Material	09_ARCHIVE/01_Superseded/Convenience_Folder_Variants/COPY PASTE FOLDER/Project_mC_Decision_Register_v1.0.md	TIER_5_SUPERSEDED	Superseded decision-register variant.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	ARCHIVE_ONLY	2ecf77fbbba9966a7769a2e715034f6b9ff7362d7aa51261219ee118085d22d3	2ecf77fbbba9966a7769a2e715034f6b9ff7362d7aa51261219ee118085d22d3	2ecf77fbbba9966a7769a2e715034f6b9ff7362d7aa51261219ee118085d22d3	FROZEN_HASH_VERIFIED
13	Superseded, Failed, Partial and Archived Material	09_ARCHIVE/01_Superseded/TrueMoist/Earlier_Claude_Architecture/Project_mC_Decision_Register_v1_1.md	TIER_5_SUPERSEDED	Superseded Decision Register v1.1 retained for history.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	ARCHIVE_ONLY	11efb57dac75c36c80f2d27c17c2689dbae645efca821a1d1b5d4574eeeed112	11efb57dac75c36c80f2d27c17c2689dbae645efca821a1d1b5d4574eeeed112	11efb57dac75c36c80f2d27c17c2689dbae645efca821a1d1b5d4574eeeed112	FROZEN_HASH_VERIFIED
13	Superseded, Failed, Partial and Archived Material	09_ARCHIVE/01_Superseded/TrueMoist/Phase3C_TrueMoist_PDR_Patch_Historical.md	TIER_5_SUPERSEDED	Historical TrueMoist patch superseded by the final architecture.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	ARCHIVE_ONLY	fd2965c371701c137897cda021885bce46e5b6b0c0d2e14126d6903c7078b3a1	fd2965c371701c137897cda021885bce46e5b6b0c0d2e14126d6903c7078b3a1	fd2965c371701c137897cda021885bce46e5b6b0c0d2e14126d6903c7078b3a1	FROZEN_HASH_VERIFIED
13	Superseded, Failed, Partial and Archived Material	09_ARCHIVE/01_Superseded/TrueMoist/Earlier_Claude_Architecture/Phase3C_TrueMoist_Architecture_Report_by_Claude.md	TIER_5_SUPERSEDED	Earlier concept architecture retained only for historical comparison.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	ARCHIVE_ONLY	e494a9d8bc1894a1d433deceea8b1a7bc9fc0c05ff5591d28f66fca5249c990c	e494a9d8bc1894a1d433deceea8b1a7bc9fc0c05ff5591d28f66fca5249c990c	e494a9d8bc1894a1d433deceea8b1a7bc9fc0c05ff5591d28f66fca5249c990c	FROZEN_HASH_VERIFIED
13	Superseded, Failed, Partial and Archived Material	09_ARCHIVE/01_Superseded/TrueMoist/Earlier_Claude_Architecture/Phase3C_TrueMoist_MEMORY.md	TIER_5_SUPERSEDED	Earlier memory file retained only as superseded history.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	ARCHIVE_ONLY	e19bfa953ec27bbbc3c64a142f81df3c71e2a5fd2e5ff9747fb52e8c061f54f2	e19bfa953ec27bbbc3c64a142f81df3c71e2a5fd2e5ff9747fb52e8c061f54f2	e19bfa953ec27bbbc3c64a142f81df3c71e2a5fd2e5ff9747fb52e8c061f54f2	FROZEN_HASH_VERIFIED
13	Superseded, Failed, Partial and Archived Material	09_ARCHIVE/03_Failed_or_Partial_Research/VibeGuard/Legacy_Fragments_and_Variants/research_on_f.patent_by_qwen2.md	TIER_5_PARTIAL_FRAGMENT	Representative legacy Qwen fragment/variant.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	ARCHIVE_ONLY	9e510aa8188e46f247342f961467320c62a9a0cba256f3eda50f8b9d757fdb82	9e510aa8188e46f247342f961467320c62a9a0cba256f3eda50f8b9d757fdb82	9e510aa8188e46f247342f961467320c62a9a0cba256f3eda50f8b9d757fdb82	FROZEN_HASH_VERIFIED
13	Superseded, Failed, Partial and Archived Material	09_ARCHIVE/03_Failed_or_Partial_Research/VibeGuard/Legacy_Fragments_and_Variants/research on f.patent by mistral 2.md	TIER_5_PARTIAL_FRAGMENT	Representative incomplete Mistral fragment.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	ARCHIVE_ONLY	cb93eee902cc5e0bd6b6699f6d603fc8fc2830fdf27f1d7a54512f5f6c227a82	cb93eee902cc5e0bd6b6699f6d603fc8fc2830fdf27f1d7a54512f5f6c227a82	cb93eee902cc5e0bd6b6699f6d603fc8fc2830fdf27f1d7a54512f5f6c227a82	FROZEN_HASH_VERIFIED
13	Superseded, Failed, Partial and Archived Material	09_ARCHIVE/03_Failed_or_Partial_Research/TrueMoist/Legacy_Fragments_and_Variants/research on f.patent by qwen #0.md	TIER_5_PARTIAL_FRAGMENT	Representative legacy TrueMoist research fragment.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	ARCHIVE_ONLY	d8abc8efe8c6a4d5111ecca56d76ca68dd0db142dfb3a54bd48375b05b1b2045	d8abc8efe8c6a4d5111ecca56d76ca68dd0db142dfb3a54bd48375b05b1b2045	d8abc8efe8c6a4d5111ecca56d76ca68dd0db142dfb3a54bd48375b05b1b2045	FROZEN_HASH_VERIFIED
13	Superseded, Failed, Partial and Archived Material	00_START_HERE/09_STAGE8_FINAL_ARCHIVAL_SWEEP_VALIDATION.md	TIER_5_AUDIT	Validates archival sweep and accounting.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	AUDIT_APPENDIX	deb56e43a0fe430f14778899d729d4a837f7f526b75fd72d865008cb2a83acc4	deb56e43a0fe430f14778899d729d4a837f7f526b75fd72d865008cb2a83acc4	deb56e43a0fe430f14778899d729d4a837f7f526b75fd72d865008cb2a83acc4	FROZEN_HASH_VERIFIED
13	Superseded, Failed, Partial and Archived Material	00_START_HERE/09_STAGE8_FINAL_ARCHIVAL_SWEEP_LOG.tsv	TIER_5_AUDIT	Detailed archival handling log.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	AUDIT_APPENDIX	78a48b5517f456d15321ca004227a0d67c293b020e1694da335f8278d71e9bf7	78a48b5517f456d15321ca004227a0d67c293b020e1694da335f8278d71e9bf7	78a48b5517f456d15321ca004227a0d67c293b020e1694da335f8278d71e9bf7	FROZEN_HASH_VERIFIED
13	Superseded, Failed, Partial and Archived Material	08_MASTER_MANUAL/02_Chapter_Source_Maps/13_Superseded_Failed_Partial_and_Archived_Routes_SOURCES.md	POST_FREEZE_MAPPING_CONTROL	Chapter-specific mapping control; not technical evidence.	UNMAPPED_OR_POST_FREEZE				a4bb05fdba0c01cc0b5473c345acb5c6826458667e40cecee58fde880f601d84	a4bb05fdba0c01cc0b5473c345acb5c6826458667e40cecee58fde880f601d84	LOCAL_HASH_RECORDED
14	Source Integrity and Evidence Control	08_MASTER_MANUAL/01_Source_Index/SOURCE_FREEZE_NOTICE.md	TIER_1_SOURCE_CONTROL	Controls source freeze, represented-source accounting and post-freeze boundary.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_1	CORE_SOURCE_CONTROL	1b8a3cf0efb1849091a2913e96bad2578e9b122e576ba8fe6f9279e294132743	1b8a3cf0efb1849091a2913e96bad2578e9b122e576ba8fe6f9279e294132743	1b8a3cf0efb1849091a2913e96bad2578e9b122e576ba8fe6f9279e294132743	FROZEN_HASH_VERIFIED
14	Source Integrity and Evidence Control	08_MASTER_MANUAL/01_Source_Index/MASTER_MANUAL_SOURCE_POLICY.md	TIER_1_SOURCE_CONTROL	Controls authority, source use and non-evidence roles.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_1	CORE_SOURCE_CONTROL	c5433b5d33523548bcd92d3c8628eb0eb7c902daaa19d70df377368d4d82cdc4	c5433b5d33523548bcd92d3c8628eb0eb7c902daaa19d70df377368d4d82cdc4	c5433b5d33523548bcd92d3c8628eb0eb7c902daaa19d70df377368d4d82cdc4	FROZEN_HASH_VERIFIED
14	Source Integrity and Evidence Control	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Legacy_Audits_and_Snapshots/CLEANUP_VALIDATION_REPORT.md	TIER_1_REPOSITORY_CONTROL	Legacy repository integrity and cleanup validation.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_1	CORE_NARRATIVE	975767d50bf28bb29c0ed7b12b3c4949551f7fefc63f4aef9004335a7a18efe5	975767d50bf28bb29c0ed7b12b3c4949551f7fefc63f4aef9004335a7a18efe5	975767d50bf28bb29c0ed7b12b3c4949551f7fefc63f4aef9004335a7a18efe5	FROZEN_HASH_VERIFIED
14	Source Integrity and Evidence Control	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Legacy_Repository_Audit/04_AUTHORITY_AMBIGUITIES.md	TIER_1_REPOSITORY_CONTROL	Records authority ambiguities requiring explicit resolution.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_1	CORE_NARRATIVE	2af657ba4e6666650bc2c4c44a13c6ba5b87feb292efa1d4a7349c06835b4fc3	2af657ba4e6666650bc2c4c44a13c6ba5b87feb292efa1d4a7349c06835b4fc3	2af657ba4e6666650bc2c4c44a13c6ba5b87feb292efa1d4a7349c06835b4fc3	FROZEN_HASH_VERIFIED
14	Source Integrity and Evidence Control	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Legacy_Repository_Audit/03_DUPLICATE_REPORT.md	TIER_1_REPOSITORY_CONTROL	Records duplicate-content findings and identity issues.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_1	CORE_NARRATIVE	e73b55d4f36f630dfc45d61147e0d683a364af1f0e28a95f54c5da972cc24925	e73b55d4f36f630dfc45d61147e0d683a364af1f0e28a95f54c5da972cc24925	e73b55d4f36f630dfc45d61147e0d683a364af1f0e28a95f54c5da972cc24925	FROZEN_HASH_VERIFIED
14	Source Integrity and Evidence Control	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Naming_History/PHASE3C_NAMING_VALIDATION_REPORT.md	TIER_1_REPOSITORY_CONTROL	Controls naming history and filename-crossing interpretation.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_1	CORE_NARRATIVE	02e3c811b70d3fb0b4f92e784b499093de190dd4c0992987f7da8739bc307353	02e3c811b70d3fb0b4f92e784b499093de190dd4c0992987f7da8739bc307353	02e3c811b70d3fb0b4f92e784b499093de190dd4c0992987f7da8739bc307353	FROZEN_HASH_VERIFIED
14	Source Integrity and Evidence Control	00_START_HERE/01_STAGE1_GOVERNANCE_VALIDATION.md	TIER_5_AUDIT	Stage 1 governance organization validation.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	AUDIT_APPENDIX	7be9b6558728c51a8982e30e0e224ad0c7d15fc4be51dfbcea910b45b38121cc	7be9b6558728c51a8982e30e0e224ad0c7d15fc4be51dfbcea910b45b38121cc	7be9b6558728c51a8982e30e0e224ad0c7d15fc4be51dfbcea910b45b38121cc	FROZEN_HASH_VERIFIED
14	Source Integrity and Evidence Control	00_START_HERE/02_STAGE2_PHASE_HISTORY_VALIDATION.md	TIER_5_AUDIT	Stage 2 phase-history organization validation.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	AUDIT_APPENDIX	0fe6ba5ac5a1f83278237bc90d3e1b2794c104e0b10bb89526e73626266726d2	0fe6ba5ac5a1f83278237bc90d3e1b2794c104e0b10bb89526e73626266726d2	0fe6ba5ac5a1f83278237bc90d3e1b2794c104e0b10bb89526e73626266726d2	FROZEN_HASH_VERIFIED
14	Source Integrity and Evidence Control	00_START_HERE/03_STAGE3A_CONCEPT_ARCHITECTURE_VALIDATION.md	TIER_5_AUDIT	Stage 3A concept-architecture validation.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	AUDIT_APPENDIX	d8eb2ac7d5d6749619b869488beb08aecb51eb921f03709cf0c4a7362013c98f	d8eb2ac7d5d6749619b869488beb08aecb51eb921f03709cf0c4a7362013c98f	d8eb2ac7d5d6749619b869488beb08aecb51eb921f03709cf0c4a7362013c98f	FROZEN_HASH_VERIFIED
14	Source Integrity and Evidence Control	00_START_HERE/04_STAGE3B_PATENT_EVIDENCE_VALIDATION.md	TIER_5_AUDIT	Stage 3B patent-evidence placement and exclusion validation.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	AUDIT_APPENDIX	541c275782505f13c66713a86248368ae26d7d31fd215330fb28c7ca3558700f	541c275782505f13c66713a86248368ae26d7d31fd215330fb28c7ca3558700f	541c275782505f13c66713a86248368ae26d7d31fd215330fb28c7ca3558700f	FROZEN_HASH_VERIFIED
14	Source Integrity and Evidence Control	00_START_HERE/05_STAGE4A_COMPARATIVE_DECISION_VALIDATION.md	TIER_5_AUDIT	Stage 4A comparative-decision validation.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	AUDIT_APPENDIX	80f2e3c7c9208d11248f85024af60bcd47a97d8a0c7af4e195df6e3e09b6f885	80f2e3c7c9208d11248f85024af60bcd47a97d8a0c7af4e195df6e3e09b6f885	80f2e3c7c9208d11248f85024af60bcd47a97d8a0c7af4e195df6e3e09b6f885	FROZEN_HASH_VERIFIED
14	Source Integrity and Evidence Control	00_START_HERE/06_STAGE4B_TEACHER_AND_REVIEW_VALIDATION.md	TIER_5_AUDIT	Stage 4B teacher/review validation.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	AUDIT_APPENDIX	6781d37ac5513bc5d14095ecde86147376ae2d02ac6e51dff3c90a1bc228a99a	6781d37ac5513bc5d14095ecde86147376ae2d02ac6e51dff3c90a1bc228a99a	6781d37ac5513bc5d14095ecde86147376ae2d02ac6e51dff3c90a1bc228a99a	FROZEN_HASH_VERIFIED
