classification	source	destination	source_sha256	destination_sha256	status	note
INDEPENDENT RESEARCH LANE	/home/paradoxpete/Documents/PROJECT_UPLOAD_PACKS/VibeGuard_Patent_Synthesis_Input_FINAL_20260801_173730/12_VibeGuard_Patent_Research_Gemini.docx	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/VibeGuard/02_Raw_Research/02_VibeGuard_Patent_Research_Gemini.docx	45001494bc2c8fa8ea5445776e084772493a034ddfc13423a24000baeb451a74	45001494bc2c8fa8ea5445776e084772493a034ddfc13423a24000baeb451a74	ALREADY_IDENTICAL	Gemini research lane.
INDEPENDENT RESEARCH LANE	/home/paradoxpete/Documents/PROJECT_UPLOAD_PACKS/VibeGuard_Patent_Synthesis_Input_FINAL_20260801_173730/13_VibeGuard_Patent_Research_Perplexity.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/VibeGuard/02_Raw_Research/03_VibeGuard_Patent_Research_Perplexity.md	01886aca6ee604cf05f3cc8d082b70e1b1c82c8e4dbccf8ce47e0e5d437be8cc	01886aca6ee604cf05f3cc8d082b70e1b1c82c8e4dbccf8ce47e0e5d437be8cc	ALREADY_IDENTICAL	Perplexity research lane.
INDEPENDENT RESEARCH LANE	/home/paradoxpete/Documents/PROJECT_UPLOAD_PACKS/VibeGuard_Patent_Synthesis_Input_FINAL_20260801_173730/14_VibeGuard_Patent_Research_Qwen.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/VibeGuard/02_Raw_Research/04_VibeGuard_Patent_Research_Qwen.md	f3d0aa97e4f67197fed317503a2959e788d092c3af11d5b909bff344912cd561	f3d0aa97e4f67197fed317503a2959e788d092c3af11d5b909bff344912cd561	ALREADY_IDENTICAL	Qwen research lane.
PARTIAL INDEPENDENT RESEARCH LANE	/home/paradoxpete/Documents/PROJECT_UPLOAD_PACKS/VibeGuard_Patent_Synthesis_Input_FINAL_20260801_173730/15_VibeGuard_Patent_Research_Mistral_PARTIAL_COMPILATION.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/VibeGuard/02_Raw_Research/05_VibeGuard_Patent_Research_Mistral_PARTIAL_COMPILATION.md	2055d44aa9697572c6ef59cfe5f08780cfc8d415bba2beacb9f8f54e54510134	2055d44aa9697572c6ef59cfe5f08780cfc8d415bba2beacb9f8f54e54510134	ALREADY_IDENTICAL	One transport compilation of incomplete Mistral fragments; no complete final verdict may be inferred.
INDEPENDENT RESEARCH LANE	/home/paradoxpete/Documents/PROJECT_UPLOAD_PACKS/VibeGuard_Patent_Synthesis_Input_FINAL_20260801_173730/16_VibeGuard_Patent_Research_Microsoft_Copilot.docx	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/VibeGuard/02_Raw_Research/06_VibeGuard_Patent_Research_Microsoft_Copilot.docx	f6c49a26af177d0faca247feb6aaa98cc2df389fae00bb4d6fd848d10e8540dd	f6c49a26af177d0faca247feb6aaa98cc2df389fae00bb4d6fd848d10e8540dd	ALREADY_IDENTICAL	Microsoft Copilot research lane.
VALID FINAL SYNTHESIS	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3C-Comparative Technical Evaluation/FINALISED DECISION/VIBEGUARD/Vibeguard_Patent_Synthesis_ChatGPT_Work_Max.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/VibeGuard/03_Patent_Synthesis/01_VibeGuard_Patent_Synthesis_Work_Max.md	f61955b09b976a4c445fcdddbc40aada02cae204302876dbfc7cf1825b8cdf72	f61955b09b976a4c445fcdddbc40aada02cae204302876dbfc7cf1825b8cdf72	ALREADY_IDENTICAL	Primary valid VibeGuard synthesis.
VALID FINAL SYNTHESIS	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3C-Comparative Technical Evaluation/FINALISED DECISION/VIBEGUARD/VibeGuard_Current_Patent_Evidence_Synthesis_High.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/VibeGuard/03_Patent_Synthesis/02_VibeGuard_Patent_Synthesis_Standard_High.md	b32a41ce9f0a3fe3ab17e55657bd14796cc77b401852b730254f1ac580b2adc4	b32a41ce9f0a3fe3ab17e55657bd14796cc77b401852b730254f1ac580b2adc4	ALREADY_IDENTICAL	Valid secondary VibeGuard synthesis used in later adjudication.
FAILED CONCEPT-SWAPPED SYNTHESIS	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3C-Comparative Technical Evaluation/FINALISED DECISION/VIBEGUARD/Vibeguard_Patent_Synthesis_ChatGPT_Deep_Research_High.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/09_ARCHIVE/03_Failed_or_Partial_Research/VibeGuard/FAILED_CONCEPT_SWAP_VibeGuard_Deep_Research_Synthesis.md	8dd3e9c2a131c77427f8fd8034e6594a0eddb9080cbb6d1e33abfc99b5bc6134	8dd3e9c2a131c77427f8fd8034e6594a0eddb9080cbb6d1e33abfc99b5bc6134	ALREADY_IDENTICAL	Preserved for provenance only; software-security concept swap makes it invalid decision evidence.
INDEPENDENT RESEARCH LANE	/home/paradoxpete/Documents/PROJECT_UPLOAD_PACKS/TrueMoist_Patent_Synthesis_Input/11_TrueMoist_Patent_Research_ChatGPT_DR.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/TrueMoist/02_Raw_Research/01_TrueMoist_Patent_Research_ChatGPT_Deep_Research.md	9a4a4cffc2f82b3f4022bc5db2d094afa54a1c9ccfb39d43e6b3321a2af1d8bb	9a4a4cffc2f82b3f4022bc5db2d094afa54a1c9ccfb39d43e6b3321a2af1d8bb	ALREADY_IDENTICAL	ChatGPT Deep Research lane.
INDEPENDENT RESEARCH LANE	/home/paradoxpete/Documents/PROJECT_UPLOAD_PACKS/TrueMoist_Patent_Synthesis_Input/12_TrueMoist_Patent_Research_Gemini.docx	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/TrueMoist/02_Raw_Research/02_TrueMoist_Patent_Research_Gemini.docx	4587f69d6f611e45c5a19088c76801579faa688c48fcf312566eaacab3b28d91	4587f69d6f611e45c5a19088c76801579faa688c48fcf312566eaacab3b28d91	ALREADY_IDENTICAL	Gemini research lane.
PARTIAL INDEPENDENT RESEARCH LANE	/home/paradoxpete/Documents/PROJECT_UPLOAD_PACKS/TrueMoist_Patent_Synthesis_Input/13_TrueMoist_Patent_Research_Perplexity.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/TrueMoist/02_Raw_Research/03_TrueMoist_Patent_Research_Perplexity_PARTIAL.md	ddc397e72125105f85897055ad6c3281308ae5015e236b0f6b0666067a00795f	ddc397e72125105f85897055ad6c3281308ae5015e236b0f6b0666067a00795f	ALREADY_IDENTICAL	Perplexity lane is partial and must be used only to the extent actually present.
INDEPENDENT RESEARCH LANE	/home/paradoxpete/Documents/PROJECT_UPLOAD_PACKS/TrueMoist_Patent_Synthesis_Input/14_TrueMoist_Patent_Research_Qwen_COMPILATION.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/TrueMoist/02_Raw_Research/04_TrueMoist_Patent_Research_Qwen_COMPILATION.md	563ec1237fdfc84f9ecd7da9ef541f39a38305cf49976304b66c20ea26132902	563ec1237fdfc84f9ecd7da9ef541f39a38305cf49976304b66c20ea26132902	ALREADY_IDENTICAL	Qwen research lane preserved in its controlled compilation form.
INDEPENDENT RESEARCH LANE	/home/paradoxpete/Documents/PROJECT_UPLOAD_PACKS/TrueMoist_Patent_Synthesis_Input/15_TrueMoist_Patent_Research_Mistral.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/TrueMoist/02_Raw_Research/05_TrueMoist_Patent_Research_Mistral.md	e70085325409b6af0a61884a1b2f13ced5c20fcdc49c5f2e982ab52ca1131f16	e70085325409b6af0a61884a1b2f13ced5c20fcdc49c5f2e982ab52ca1131f16	ALREADY_IDENTICAL	Mistral research lane.
INDEPENDENT RESEARCH LANE	/home/paradoxpete/Documents/PROJECT_UPLOAD_PACKS/TrueMoist_Patent_Synthesis_Input/16_TrueMoist_Patent_Research_Microsoft_Copilot.docx	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/TrueMoist/02_Raw_Research/06_TrueMoist_Patent_Research_Microsoft_Copilot.docx	18ffe78f06c7d1a6b30a022474e0cbb660d5e4670e9658cdd5048f233a4b135d	18ffe78f06c7d1a6b30a022474e0cbb660d5e4670e9658cdd5048f233a4b135d	ALREADY_IDENTICAL	Microsoft Copilot research lane.
VALID FINAL SYNTHESIS	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3C-Comparative Technical Evaluation/FINALISED DECISION/TRUEMOIST/TrueMoist_Patent-Evidence_Synthesis_Chatgpt_Max.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/TrueMoist/03_Patent_Synthesis/01_TrueMoist_Patent_Evidence_Synthesis_Max.md	f43847c672ca9b132a7ef6219a9ce00deb8f0ab657c0bda6a7ed3a930a697900	f43847c672ca9b132a7ef6219a9ce00deb8f0ab657c0bda6a7ed3a930a697900	ALREADY_IDENTICAL	Primary valid TrueMoist synthesis.
VALID FINAL SYNTHESIS	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3C-Comparative Technical Evaluation/FINALISED DECISION/TRUEMOIST/TrueMoist_Patent-Evidence_Synthesis_Chatgpt_High_Deepresearch.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/TrueMoist/03_Patent_Synthesis/02_TrueMoist_Patent_Evidence_Synthesis_High_Deep_Research.md	ddf421678c6f5dbafd7e2d61db82a4b7c1d8c3d817afb4341538ec98f4d91505	ddf421678c6f5dbafd7e2d61db82a4b7c1d8c3d817afb4341538ec98f4d91505	ALREADY_IDENTICAL	Valid secondary TrueMoist synthesis used in later adjudication.
SUPPLEMENTARY EXCLUDED AUDIT	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3C-Comparative Technical Evaluation/FINALISED DECISION/TRUEMOIST/research/research on f.patent by chatgpt work max.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/09_ARCHIVE/03_Failed_or_Partial_Research/TrueMoist/SUPPLEMENTARY_EXCLUDED_TrueMoist_Work_Max_Web_Audit.md	6efe433b5b86b75830b93ad0a32f5a8db703d0a9740c4481ef4cea7db5a89dec	6efe433b5b86b75830b93ad0a32f5a8db703d0a9740c4481ef4cea7db5a89dec	ALREADY_IDENTICAL	Preserved as supplementary context; not one of the six independent lanes and not an adjudication vote.
