classification	source	destination	source_sha256	destination_sha256	status	note
CANONICAL PHASE OUTPUT	/home/paradoxpete/Documents/PROJECT/PHASE 1/PHASE 1C/Phase1C_Concept_Synthesis.pdf	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_1/Phase_1C_Concept_Synthesis/Phase1C_Concept_Synthesis.pdf	4f117f1a7bc0fb5b4ec9e450036566aa5198a08e84a451ad2e7d2dbc8636b084	4f117f1a7bc0fb5b4ec9e450036566aa5198a08e84a451ad2e7d2dbc8636b084	COPIED_AND_VERIFIED	Five-concept synthesis used as historical concept origin.
PHASE SOP	/home/paradoxpete/Documents/PROJECT/PHASE 2/2_Sop.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_2_Patent_Landscape/Phase2_SOP.md	c7d7d805d41313dee1dce65d9323c95075a8cde8d61ff2bfce3700510c41dd54	c7d7d805d41313dee1dce65d9323c95075a8cde8d61ff2bfce3700510c41dd54	COPIED_AND_VERIFIED	Phase 2 operating procedure.
RESEARCH PROMPT	/home/paradoxpete/Documents/PROJECT/PHASE 2/Phase2_DeepResearch_Prompt_v2.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_2_Patent_Landscape/Phase2_DeepResearch_Prompt_v2.md	372d5ccbc23bd7b8e444fb6071aea4e4760397b5c1a360201d288609b1efcefd	372d5ccbc23bd7b8e444fb6071aea4e4760397b5c1a360201d288609b1efcefd	COPIED_AND_VERIFIED	Historical Phase 2 research prompt.
PHASE MEMORY	/home/paradoxpete/Documents/PROJECT/PHASE 2/Phase2_Memory.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_2_Patent_Landscape/Phase2_Memory.md	973519f45bc075c296d4302b94933288496bd9bc12fae708aac1fb7020158ce8	973519f45bc075c296d4302b94933288496bd9bc12fae708aac1fb7020158ce8	COPIED_AND_VERIFIED	Canonical Phase 2 memory.
CANONICAL PHASE OUTPUT	/home/paradoxpete/Documents/PROJECT/PHASE 2/Phase2_Report by CLaude.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_2_Patent_Landscape/Phase2_Report_by_Claude.md	783729d0e07e725236db5296dae8504ce782c294b8c61cfab40ea172cfa6943e	783729d0e07e725236db5296dae8504ce782c294b8c61cfab40ea172cfa6943e	COPIED_AND_VERIFIED	Historical Phase 2 patent-landscape report.
RENDERED PHASE REPORT	/home/paradoxpete/Documents/PROJECT/PHASE 2/Phase2_Report From Claude.pdf	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_2_Patent_Landscape/Phase2_Report_From_Claude.pdf	ab93da2c1ad6a9e22678e59da64a8992e4275ac4b01bad1061995dd9a5bf4f04	ab93da2c1ad6a9e22678e59da64a8992e4275ac4b01bad1061995dd9a5bf4f04	COPIED_AND_VERIFIED	Rendered Phase 2 report.
PHASE SOP	/home/paradoxpete/Documents/PROJECT/Phase3_SOP.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_3/Phase3_SOP.md	3c3bfa374c40280be56adbd22f5ba7e07c3f38254557c0d1885da5708f6c53de	3c3bfa374c40280be56adbd22f5ba7e07c3f38254557c0d1885da5708f6c53de	COPIED_AND_VERIFIED	General Phase 3 operating procedure.
RESEARCH PROMPT	/home/paradoxpete/Documents/PROJECT/PHASE 3/Phase3_DeepResearch_Prompt.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_3/Phase3_DeepResearch_Prompt.md	4173379249d0dca88800c04432b71cf1184f958abf2809d72c023363cdd1449c	4173379249d0dca88800c04432b71cf1184f958abf2809d72c023363cdd1449c	COPIED_AND_VERIFIED	General Phase 3 research prompt.
PHASE MEMORY	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3A-Engineering Landscape Discovery/Phase3A_MEMORY.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_3/Phase_3A_Engineering_Landscape/Phase3A_MEMORY.md	acd3b4178143ca918ed4cce43d3d853acc994c0178dc8efdc406fb014e1ec997	acd3b4178143ca918ed4cce43d3d853acc994c0178dc8efdc406fb014e1ec997	COPIED_AND_VERIFIED	Canonical Phase 3A memory.
CANONICAL PHASE OUTPUT	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3A-Engineering Landscape Discovery/Claudes report on the research Phases 3a.pdf	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_3/Phase_3A_Engineering_Landscape/Claude_Phase3A_Research_Report.pdf	7d0202fb62476a0212e594af473ad8d796eecd853e53e7f0952de90908cec611	7d0202fb62476a0212e594af473ad8d796eecd853e53e7f0952de90908cec611	COPIED_AND_VERIFIED	Phase 3A engineering-landscape synthesis report.
PHASE SOP	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3B-Engineering Feasibility Analysis/Project_mC_Phase3B_SOP.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_3/Phase_3B_Feasibility_Analysis/Project_mC_Phase3B_SOP.md	6ce2ed40885038734faa75018a1caa16d89fcc7f18c7bf8249fe42453f36af4c	6ce2ed40885038734faa75018a1caa16d89fcc7f18c7bf8249fe42453f36af4c	COPIED_AND_VERIFIED	Phase 3B engineering-feasibility SOP.
RESEARCH PROMPT	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3B-Engineering Feasibility Analysis/Phase3B_DeepResearch_Prompt.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_3/Phase_3B_Feasibility_Analysis/Phase3B_DeepResearch_Prompt.md	2d0a79d6fe7e24bf1cc4c1d4b4a9e2c0cd3c8cead10ad0323b63709eec2811e6	2d0a79d6fe7e24bf1cc4c1d4b4a9e2c0cd3c8cead10ad0323b63709eec2811e6	COPIED_AND_VERIFIED	Phase 3B research prompt.
PHASE MEMORY	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3B-Engineering Feasibility Analysis/Phase3B_MEMORY.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_3/Phase_3B_Feasibility_Analysis/Phase3B_MEMORY.md	7b6532c779867e9d6064473de4ba1b4799a0c385361cf27dc4616888fb0ac7ad	7b6532c779867e9d6064473de4ba1b4799a0c385361cf27dc4616888fb0ac7ad	COPIED_AND_VERIFIED	Canonical Phase 3B memory.
CANONICAL PHASE OUTPUT	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3B-Engineering Feasibility Analysis/Phase3B_Report_by_Claude.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_3/Phase_3B_Feasibility_Analysis/Phase3B_Report_by_Claude.md	14c19ac85b56e4e27da03de534a2a574ab7220d90005b4a7a0afb868f6390478	14c19ac85b56e4e27da03de534a2a574ab7220d90005b4a7a0afb868f6390478	COPIED_AND_VERIFIED	Phase 3B feasibility-analysis report.
APPROVED PHASE CLOSURE	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3C-Comparative Technical Evaluation/Phase3C_Portfolio_Closure_Memo_Approved.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_3/Phase_3C_Comparative_Evaluation/Phase3C_Portfolio_Closure_Memo_Approved.md	3c6e6f568c06099251b4b71d4f35cf668ee23a40c8214c95e4a12fe36cf4845a	3c6e6f568c06099251b4b71d4f35cf668ee23a40c8214c95e4a12fe36cf4845a	COPIED_AND_VERIFIED	Approved Phase 3C portfolio-closure record.
PHASE REPOSITORY GUIDE	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3C-Comparative Technical Evaluation/README.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_3/Phase_3C_Comparative_Evaluation/Original_Phase3C_README.md	839ebfd63f94bfbbeb7450785e111f3d9225bdb356d40d1404da1f5aebf937eb	839ebfd63f94bfbbeb7450785e111f3d9225bdb356d40d1404da1f5aebf937eb	COPIED_AND_VERIFIED	Original Phase 3C repository guide.
