classification	source	destination	source_sha256	destination_sha256	existing_identical_path	status	note
HISTORICAL VISUAL EXPLANATION	/home/paradoxpete/Documents/PROJECT/PHASE 1/PHASE 1C/visual explanation of the 5 ideas/top 5.html	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_1/Phase_1C_Concept_Synthesis/Visual_Explanations/02_Visual_Explanation_Top_5.html	a01c1706657b1a5abc76ec22e8e108a2d534608cda5f824fe656f257195d4192	a01c1706657b1a5abc76ec22e8e108a2d534608cda5f824fe656f257195d4192		COPIED_AND_VERIFIED	Historical browser-based final-five explanation.
HISTORICAL CONCEPT DOSSIER	/home/paradoxpete/Documents/PROJECT/PHASE 1/PHASE 1C/INDEPTH OF EACH FIVE IDEA/Document_1_OpenBraille_Concept_Dossier.docx	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/OpenBraille/05_Roadmaps_and_Reference_Dossiers/HISTORICAL_Phase1C_OpenBraille_Concept_Dossier.docx	ac21af2a892f319e0b28d4d7314f4561c5aebad5291343c34d777beb933106ea	ac21af2a892f319e0b28d4d7314f4561c5aebad5291343c34d777beb933106ea		COPIED_AND_VERIFIED	Early OpenBraille concept definition; subordinate to the final Phase 3C architecture.
HISTORICAL CONCEPT DOSSIER	/home/paradoxpete/Documents/PROJECT/PHASE 1/PHASE 1C/INDEPTH OF EACH FIVE IDEA/Document_2_VibeGuard_Concept_Dossier.docx	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/VibeGuard/05_Roadmaps_and_Reference_Dossiers/HISTORICAL_Phase1C_VibeGuard_Concept_Dossier.docx	8a3c40cdc9ec899934ca9a37b05f9c0df22b583cd3ee259ebc81c1da9f0a0ae7	8a3c40cdc9ec899934ca9a37b05f9c0df22b583cd3ee259ebc81c1da9f0a0ae7		COPIED_AND_VERIFIED	Early VibeGuard concept definition; subordinate to the final Phase 3C architecture.
HISTORICAL CONCEPT DOSSIER	/home/paradoxpete/Documents/PROJECT/PHASE 1/PHASE 1C/INDEPTH OF EACH FIVE IDEA/Document_3_TrueMoist_Concept_Dossier.docx	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/TrueMoist/05_Roadmaps_and_Reference_Dossiers/HISTORICAL_Phase1C_TrueMoist_Concept_Dossier.docx	ca5cedfdfac5157b328aa865433a172d8af82a44d2dbf8b015c8c217fa6f85a2	ca5cedfdfac5157b328aa865433a172d8af82a44d2dbf8b015c8c217fa6f85a2		COPIED_AND_VERIFIED	Early TrueMoist concept definition; subordinate to the validated Phase 3C architecture.
HISTORICAL CONCEPT DOSSIER	/home/paradoxpete/Documents/PROJECT/PHASE 1/PHASE 1C/INDEPTH OF EACH FIVE IDEA/Document_4_TrustLatch_Concept_Dossier.docx	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/Other_Concepts/TrustLatch/HISTORICAL_Phase1C_TrustLatch_Concept_Dossier.docx	f9a4184850435aba3ec26e480e802d1ba39f17037f0f368520a625c6f8e84f78	f9a4184850435aba3ec26e480e802d1ba39f17037f0f368520a625c6f8e84f78		COPIED_AND_VERIFIED	TrustLatch Phase 1C concept dossier; retained as a non-finalist project concept.
HISTORICAL PATENT RESEARCH	/home/paradoxpete/Documents/PROJECT/PHASE 2/RESEARCH DOCS/CHATGT Research on Patent.docx	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_2_Patent_Landscape/Raw_Research/01_ChatGPT_Patent_Research.docx	61188e3fc06ca9ab2ddd8c196d217f10a59e077fe9b32687e2c0920d486501d5	61188e3fc06ca9ab2ddd8c196d217f10a59e077fe9b32687e2c0920d486501d5		COPIED_AND_VERIFIED	Phase 2 research lane; conclusions are historical leads only.
HISTORICAL PATENT RESEARCH	/home/paradoxpete/Documents/PROJECT/PHASE 2/RESEARCH DOCS/Gemini Reearch on phase 2.docx	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_2_Patent_Landscape/Raw_Research/02_Gemini_Phase2_Research.docx	5af919473e667c9bae7abbdfc5f98067472f40beb5a3e5f1c793a0f12e4d0f53	5af919473e667c9bae7abbdfc5f98067472f40beb5a3e5f1c793a0f12e4d0f53		COPIED_AND_VERIFIED	Phase 2 research lane; conclusions are historical leads only.
HISTORICAL PATENT RESEARCH	/home/paradoxpete/Documents/PROJECT/PHASE 2/RESEARCH DOCS/Kimi Patent Research.pdf	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_2_Patent_Landscape/Raw_Research/03_Kimi_Patent_Research.pdf	33f4539a14653b55c0b73e0fbcd140827e2131ed9c3ca5d9bc896d4553f4a904	33f4539a14653b55c0b73e0fbcd140827e2131ed9c3ca5d9bc896d4553f4a904		COPIED_AND_VERIFIED	Phase 2 research lane; conclusions are historical leads only.
HISTORICAL PATENT RESEARCH	/home/paradoxpete/Documents/PROJECT/PHASE 2/RESEARCH DOCS/QWen Research on Patent.pdf	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_2_Patent_Landscape/Raw_Research/04_Qwen_Patent_Research_Full.pdf	75d736454cf7362a31e9ae1e2695a7bd793ab98187f2ad51ba9dc44f0d4473a7	75d736454cf7362a31e9ae1e2695a7bd793ab98187f2ad51ba9dc44f0d4473a7		COPIED_AND_VERIFIED	Longer Qwen Phase 2 research form.
HISTORICAL PATENT RESEARCH VARIANT	/home/paradoxpete/Documents/PROJECT/PHASE 2/RESEARCH DOCS/Qwens Research on Phase 2.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_2_Patent_Landscape/Raw_Research/05_Qwen_Phase2_Research_Variant.md	5593a0581c350814e5567357effb2b1948cd3046a67bf52e00ff7495b9c0afe8	5593a0581c350814e5567357effb2b1948cd3046a67bf52e00ff7495b9c0afe8		COPIED_AND_VERIFIED	Overlapping but not byte-equivalent Qwen variant; retained separately.
HISTORICAL ENGINEERING RESEARCH	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3A-Engineering Landscape Discovery/Geminis Research On Phase 3A.docx	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_3/Phase_3A_Engineering_Landscape/Raw_Research/01_Gemini_Phase3A_Research.docx	6d380794c7b52664324a1e4e39dac49f40f50ad269391cbe1f6135175048b944	6d380794c7b52664324a1e4e39dac49f40f50ad269391cbe1f6135175048b944		COPIED_AND_VERIFIED	Independent Phase 3A engineering-landscape lane.
HISTORICAL ENGINEERING RESEARCH	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3A-Engineering Landscape Discovery/MISTRAL RESEAARCH ON phase 3a.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_3/Phase_3A_Engineering_Landscape/Raw_Research/02_Mistral_Phase3A_Research.md	ae11e6b64bed09dcde373a21849085dd929a96f045d8a2362d4f07d58daed5c6	ae11e6b64bed09dcde373a21849085dd929a96f045d8a2362d4f07d58daed5c6		COPIED_AND_VERIFIED	Independent Phase 3A engineering-landscape lane.
HISTORICAL ENGINEERING RESEARCH	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3A-Engineering Landscape Discovery/Perplexity Research on Phase 3A.pdf	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_3/Phase_3A_Engineering_Landscape/Raw_Research/03_Perplexity_Phase3A_Research.pdf	a56c84e5ca354f3e1451fa98cd49d7184247c95b2b1ddf5b7e04a24bd954d19b	a56c84e5ca354f3e1451fa98cd49d7184247c95b2b1ddf5b7e04a24bd954d19b		COPIED_AND_VERIFIED	Independent Phase 3A engineering-landscape lane.
HISTORICAL ENGINEERING RESEARCH	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3A-Engineering Landscape Discovery/Qwen Research on Phase 3A.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_3/Phase_3A_Engineering_Landscape/Raw_Research/04_Qwen_Phase3A_Research.md	501782f664994ad0cfdeb72f16a975c2abe3a87ee4c456375a703f426437c99b	501782f664994ad0cfdeb72f16a975c2abe3a87ee4c456375a703f426437c99b		COPIED_AND_VERIFIED	Independent Phase 3A engineering-landscape lane.
HISTORICAL FEASIBILITY RESEARCH	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3B-Engineering Feasibility Analysis/Gemini Research on Phase 3B.docx	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_3/Phase_3B_Feasibility_Analysis/Raw_Research/01_Gemini_Phase3B_Research.docx	94e1e8e81c3f79f3f426086677841b1b4c2c32da8b50710e080bd0a27b9e2906	94e1e8e81c3f79f3f426086677841b1b4c2c32da8b50710e080bd0a27b9e2906		COPIED_AND_VERIFIED	Independent Phase 3B feasibility-research lane.
HISTORICAL FEASIBILITY RESEARCH	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3B-Engineering Feasibility Analysis/Mistral researon on Phase 3B.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_3/Phase_3B_Feasibility_Analysis/Raw_Research/02_Mistral_Phase3B_Research.md	254d0b0a0df0cdab2fecb7ef65148474faff4f16c440fe4e76d0ada53cb6dc11	254d0b0a0df0cdab2fecb7ef65148474faff4f16c440fe4e76d0ada53cb6dc11		COPIED_AND_VERIFIED	Independent Phase 3B feasibility-research lane.
HISTORICAL FEASIBILITY RESEARCH	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3B-Engineering Feasibility Analysis/Qwen Rsearch on Phase 3B.pdf	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_3/Phase_3B_Feasibility_Analysis/Raw_Research/03_Qwen_Phase3B_Research.pdf	7a8fbde6b8fab93e195deefa716fb3f3724c369aa87deef27256be8fe8b45e1f	7a8fbde6b8fab93e195deefa716fb3f3724c369aa87deef27256be8fe8b45e1f		COPIED_AND_VERIFIED	Independent Phase 3B feasibility-research lane.
HISTORICAL FEASIBILITY RESEARCH	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3B-Engineering Feasibility Analysis/perplexity_research_on_phase3B.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_3/Phase_3B_Feasibility_Analysis/Raw_Research/04_Perplexity_Phase3B_Research.md	65a891eda465cab8f3d1d69e8320497dc8c05c5a2176c25d9c0cb81218f4b4d5	65a891eda465cab8f3d1d69e8320497dc8c05c5a2176c25d9c0cb81218f4b4d5		COPIED_AND_VERIFIED	Independent Phase 3B feasibility-research lane.
